STAT_CAUSE_DESCR,FIRE_SIZE
Arson,337750.90999999637
Campfire,47385.47999999994
Children,21986.089999999913
Debris Burning,725077.3499899608
Equipment Use,933222.2499999924
Fireworks,6658.080000000001
Lightning,1817012.5300000112
Miscellaneous,3793541.519990104
Missing/Undefined,1374700.4099999992
Powerline,514430.3299999957
Railroad,32283.959999999934
Smoking,181889.90000000218
Structure,279.50000000000006
